URL, number of outlinks
https://www.gmarket.co.kr/#best, 350
http://category.gmarket.co.kr/listview/L100000083.aspx, 330
http://rpp.gmarket.co.kr/?exhib=37378, 146
http://category.gmarket.co.kr/listview/L100000036.aspx, 450
http://minishop.gmarket.co.kr/akplaza2, 87
http://corners.gmarket.co.kr/Bestsellers?ItemId=1941744416#1941744416, 299
http://browse.gmarket.co.kr/list?category=300029127&f=k:%EC%A0%84%EA%B5%AD%EB%AC%B4%EB%A3%8C%EC%9E%A5%EC%B0%A9, 148
https://www.gmarket.co.kr/n/smiledelivery, 312
http://category.gmarket.co.kr/listview/L100000103.aspx, 268
http://corners.gmarket.co.kr/Bestsellers?ItemId=1894809890#1894809890, 299
http://corners.gmarket.co.kr/Bestsellers?ItemId=2051261528#2051261528, 299
http://corners.gmarket.co.kr/Bestsellers?ItemId=484828506#484828506, 299
http://item.gmarket.co.kr/Item?goodsCode=1487771965, 79
http://item.gmarket.co.kr/Item?goodsCode=2275303433, 59
http://item.gmarket.co.kr/Item?goodsCode=2327274352, 58
https://www.gmarket.co.kr/#freedelivery, 348
http://www.gmarket.co.kr/challenge/neo_include/login/redirect_gateway.asp?site=G9&redir=http://www.g9.co.kr/Display/VIP/Index/2366481411?jaehuid=200007715, 0
http://promotion.gmarket.co.kr/Event/CouponZone.asp, 42
http://category.gmarket.co.kr/listview/L100000032.aspx, 173
http://minishop.gmarket.co.kr/1sttouch, 47
http://minishop.gmarket.co.kr/shpnt1, 117
https://rpp.gmarket.co.kr/?exhib=47488, 75
http://category.gmarket.co.kr/listview/L100000055.aspx, 269
http://item.gmarket.co.kr/Item?goodsCode=1614191721, 72
http://corners.gmarket.co.kr/Bestsellers?ItemId=2094556088#2094556088, 300
http://item.gmarket.co.kr/Item?goodsCode=1758028433, 34
https://www.gmarket.co.kr, 349
http://myg.gmarket.co.kr/, 7
http://rpp.gmarket.co.kr/?exhib=50843, 27
http://www.gmarket.co.kr/challenge/neo_include/login/redirect_gateway.asp?site=G9&redir=http://www.g9.co.kr/Display/VIP/Index/2363456241?jaehuid=200007715, 0
http://air.gmarket.co.kr/, 0
http://category.gmarket.co.kr/listview/L100000068.aspx, 278
http://minishop.gmarket.co.kr/gongyoungtv, 85
http://minishop.gmarket.co.kr/CJoshopping, 101
http://item.gmarket.co.kr/Item?goodsCode=1899274105, 80
http://minishop.gmarket.co.kr/sandamall2017, 69
http://rpp.gmarket.co.kr/?exhib=32233, 10
http://corners.gmarket.co.kr/Bestsellers?ItemId=2196780219#2196780219, 299
https://rpp.gmarket.co.kr/?exhib=52810, 31
http://item.gmarket.co.kr/Item?goodsCode=2118627126, 59
http://corners.gmarket.co.kr/Superdeals, 775
https://rpp.gmarket.co.kr/?exhib=52798, 54
http://category.gmarket.co.kr/listview/L100000092.aspx, 312
http://minishop.gmarket.co.kr/skstoa, 107
http://corners.gmarket.co.kr/Bestsellers?ItemId=1917671465#1917671465, 299
https://www.gmarket.co.kr/#gs, 350
http://rpp.gmarket.co.kr/?exhib=32269, 24
http://member2.gmarket.co.kr/TermsPolicy/BuyerTermsPolicy, 5
http://category.gmarket.co.kr/listview/L100000027.aspx, 329
http://category.gmarket.co.kr/listview/L100000048.aspx, 301
http://corners.gmarket.co.kr/Bestsellers?ItemId=2251299253#2251299253, 300
https://rpp.gmarket.co.kr/?exhib=52817, 42
http://global.gmarket.co.kr/Home/GlobalGate?nation=CN&nexturl=http://global.gmarket.co.kr/Home/Main&jaehuid=200007637, 0
http://minishop.gmarket.co.kr/Amorepacific, 29
http://item.gmarket.co.kr/Item?goodsCode=2056972954, 75
http://rpp.gmarket.co.kr/?exhib=34674, 108
http://category.gmarket.co.kr/listview/L100000014.aspx, 396
http://item.gmarket.co.kr/Item?goodsCode=1482891027, 76
http://rpp.gmarket.co.kr/?exhib=49970, 64
http://corners.gmarket.co.kr/Bestsellers?ItemId=2363602889#2363602889, 299
http://category.gmarket.co.kr/listview/L100000107.aspx, 162
ode=1000007&isFreeShipping=true, 207
http://category.gmarket.co.kr/listview/L100000106.aspx, 256
http://item.gmarket.co.kr/Item?goodsCode=1726790864, 76
http://item.gmarket.co.kr/Item?goodsCode=1487790231, 75
http://rpp.gmarket.co.kr/?exhib=48372, 117
http://category.gmarket.co.kr/listview/L100000074.aspx, 224
http://corners.gmarket.co.kr/Bestsellers?ItemId=1655242371#1655242371, 299
http://corners.gmarket.co.kr/Bestsellers?ItemId=2366728532#2366728532, 299
http://item.gmarket.co.kr/Item?goodsCode=2051287647, 59
https://rpp.gmarket.co.kr/?exhib=51267, 7
http://item.gmarket.co.kr/Item?goodsCode=2356744938, 75
https://rpp.gmarket.co.kr/?exhib=52684, 166
http://minishop.gmarket.co.kr/sysmate11, 50
http://corners.gmarket.co.kr/Bestsellers?ItemId=2350752473#2350752473, 299
http://category.gmarket.co.kr/listview/L100000038.aspx, 465
http://minishop.gmarket.co.kr/lottetv1, 100
http://rpp.gmarket.co.kr/?exhib=52794, 8
http://item.gmarket.co.kr/Item?goodsCode=2359472662, 36
http://minishop.gmarket.co.kr/HAPPYCON, 48
http://category.gmarket.co.kr/listview/L100000042.aspx, 464
http://corners.gmarket.co.kr/ExpressShop/Home?SellerId=shomeplus, 129
http://item.gmarket.co.kr/Item?goodsCode=2355630375, 70
http://item.gmarket.co.kr/Item?goodsCode=1806068416, 61
http://corners.gmarket.co.kr/Bestsellers?ItemId=2259427919#2259427919, 299
http://minishop.gmarket.co.kr/lotteec/, 109
http://category.gmarket.co.kr/listview/L100000045.aspx, 495
http://corners.gmarket.co.kr/Bestsellers?ItemId=2363339470#2363339470, 299
http://item.gmarket.co.kr/Item?goodsCode=1157707109, 50
http://item.gmarket.co.kr/Item?goodsCode=2320513629, 68
http://corners.gmarket.co.kr/Bestsellers?ItemId=2078949992#2078949992, 299
https://rpp.gmarket.co.kr/?exhib=52796, 68
http://rpp.gmarket.co.kr/?exhib=46484, 15
https://spweb.gmarket.co.kr/ko/plcc/intro/index?type=basicBenefit/index?medium=G_U_U_B12, 1
http://item.gmarket.co.kr/Item?goodsCode=2203323153, 71
http://corners.gmarket.co.kr/ExpressShop/Home?SellerId=gsfresh300, 129
https://www.gmarket.co.kr/ javascript:adReport('A23R6S520293298');checkAdLink('520293298','http:/item.gmarket.co.kr/Item?goodscode=173366583&amp;ver=637813093100695357','','2','AdCheckForm') , 2
http://item.gmarket.co.kr/Item?goodscode=2300519789, 0
http://item.gmarket.co.kr/Item?goodscode=2078949992&ver=637813093100539411, 64
http://item.gmarket.co.kr/Item?goodscode=1895881134&ver=637813092882827979, 76
http://item.gmarket.co.kr/Item?goodscode=2051261528&ver=637813092552344864, 79
http://item.gmarket.co.kr/Item?goodscode=1478154564&ver=637813092919075938, 51
http://item.gmarket.co.kr/Item?goodscode=2350500765&ver=637813092717922987, 59
http://item.gmarket.co.kr/Item?goodscode=2275015264, 58
http://item.gmarket.co.kr/Item?goodscode=2346813109&ver=637813092547813132, 60
http://item.gmarket.co.kr/Item?goodscode=1106392253&ver=637813093023009823, 57
http://item.gmarket.co.kr/Item?goodscode=2024574657&ver=637813093023009823, 78
http://item.gmarket.co.kr/Item?goodscode=1517019865&ver=637813092717922987, 66
http://item.gmarket.co.kr/Item?goodscode=2185524445, 62
http://item.gmarket.co.kr/Item?goodscode=1964433227, 77
http://item.gmarket.co.kr/Item?goodscode=2287412673&ver=637813092907516392, 65
http://item.gmarket.co.kr/Item?goodscode=1819951773&ver=637813092882827979, 79
http://item.gmarket.co.kr/Item?goodsCode=2307473583, 68
http://corners.gmarket.co.kr/ExpressShop/Category?sellerId=gsfresh300&CategoryCode=1000025, 92
http://item.gmarket.co.kr/Item?goodscode=1655242060&ver=637813092552344864, 56
http://item.gmarket.co.kr/Item?goodscode=1672780811, 0
http://item.gmarket.co.kr/Item?goodsCode=1482555647, 35
http://item.gmarket.co.kr/Item?goodscode=2254077460&ver=637813092994884958, 76
http://item.gmarket.co.kr/Item?goodsCode=2189106722, 63
http://item.gmarket.co.kr/Item?goodsCode=701345506, 74
http://browse.gmarket.co.kr/list?category=300028971, 201
http://item.gmarket.co.kr/Item?goodscode=1895570428, 50
http://item.gmarket.co.kr/Item?goodscode=1685407205, 74
https://www.gmarket.co.kr/galleria5/List?title=New%20Item&sortType=NewlyListed, 2
https://www.gmarket.co.kr/CJoshopping/List?Category=100000046&DisplayType=None&SortType=None, 2
http://item.gmarket.co.kr/Item?goodscode=1577525154&ver=637813092957005873, 65
http://item.gmarket.co.kr/Item?goodscode=1703332335, 70
http://item.gmarket.co.kr/Item?goodscode=2366711601&ver=637813093172652400, 77
http://item.gmarket.co.kr/Item?goodscode=1975611008, 59
http://item.gmarket.co.kr/Item?goodscode=495818668&ver=637813092552344864, 59
http://item.gmarket.co.kr/Item?goodscode=2318172678&ver=637813093130653433, 54
http://item.gmarket.co.kr/Item?goodscode=1862866863&ver=637813093023286984, 79
http://item.gmarket.co.kr/Item?goodscode=693362820, 69
