URL, number of outlinks
https://www.tudn.com/boxeo/travieso-arce-y-jc-chavez-liman-asperezas-y-se-reconcilian-video, 71
https://www.tudn.com/archivo/2018, 112
https://www.tudn.com/futbol/liga-mx/necaxa-vs-leon-liga-mx-clausura-2022-02-25, 55
https://www.tudn.com/futbol/liga-mx/atlas-irarragorri-no-regreso-andres-guardado-corto-tiempo-futuro-veran, 69
https://www.tudn.com/futbol/uefa-europa-league/lazio-piede-ante-el-porto-pero-deja-abierta-la-eliminatoria-europa-league, 69
https://www.tudn.com/mas-deportes/saul-canelo-alvarez-nego-que-ya-tenga-rival-para-su-proxima-pelea, 69
https://www.tudn.com/futbol/liga-campeones-concacaf/moscoso-se-viste-de-heroe-ante-colorado-rapids-y-comunicaciones-avanza-video, 68
https://www.tudn.com/futbol/uefa-champions-league/tiro-atajado-disparo-por-antony-video-9, 71
https://www.tudn.com/futbol/liga-mx/posiciones, 72
https://www.tudn.com/futbol/liga-campeones-concacaf/tiro-atajado-disparo-por-ismael-govea-video-1, 71
https://www.tudn.com/futbol/uefa-champions-league/la-que-se-comio-keylor-tirito-centro-de-de-bruyne-se-cuela-para-el-1-1-video, 70
https://www.tudn.com/futbol/liga-campeones-concacaf/julio-gonzalez-se-reivindica-le-niega-el-empate-a-christian-bolanos-video, 68
https://www.tudn.com/futbol/uefa-europa-league, 90
https://www.tudn.com/futbol/mexico/avanzo-el-futbol-de-la-seleccion-mexicana-analisis-de-la-triple-fecha-video, 68
https://www.tudn.com/futbol/liga-campeones-concacaf/llaves, 75
https://www.tudn.com/futbol/mls/chicharito-hernandez-asegura-que-a-sus-33-anos-no-esta-acabado-video, 68
https://www.tudn.com/futbol/mexico/arsenal-marcelo-flores-reafirma-compromiso-tri-tenis-personalizados, 69
https://www.tudn.com/futbol/liga-mx/amor-al-rayo-el-gran-festejo-de-lozano-tras-triunfo-de-necaxa-video, 67
https://www.tudn.com/futbol/mexico/mas-cardiaco-no-se-puede-mexico-apenas-rescata-el-2-1-frente-a-jamaica-video, 68
https://www.tudn.com/futbol/uefa-europa-league/ferran-torres-llora-desconsolado-tras-una-dificil-noche-con-barcelona-video, 71
https://www.tudn.com/futbol/liga-campeones-concacaf/santos-tendra-baja-pedro-caixinha-montreal-covid-19, 68
https://www.tudn.com/boxeo/jermall-charllo-potencial-rival-canelo-alvarez-arrestado-segunda-vez-en-texas, 63
https://www.tudn.com/futbol/el-malentendido-que-afecto-la-relacion-oswaldo-sanchez-memo-ochoa-video, 71
https://www.tudn.com/nfl-inicio, 71
https://www.tudn.com/futbol/liga-mx/equipos, 77
